ID;Time;A_sim;Type
1;1.617917292;0.769949971;f2
1;19.15014135;0.234095829;f2
1;42.73125969;0.044169156;f2
1;64.83296612;0.008394728;f2
1;178.0458206;2.27E-06;f2
2;1.730196529;1.380373678;f2
2;19.02855209;0.548769133;f2
2;41.88401388;0.160474103;f2
2;65.99482516;0.041026356;f2
2;190.6250492;4.67E-05;f2
3;3.103196335;0.845144048;f2
3;20.09771871;0.29904825;f2
3;43.04461323;0.112633939;f2
3;66.48478602;0.029337674;f2
3;146.4028448;0.000474953;f2
4;2.565606399;1.010943409;f2
4;18.10905973;0.280775159;f2
4;43.68129086;0.021764603;f2
4;67.53166483;0.002942359;f2
4;147.7362656;1.95E-06;f2
5;2.431402971;1.987760139;f2
5;19.24055019;0.432330046;f2
5;42.45938093;0.04908552;f2
5;65.73211147;0.0054336;f2
5;143.3296663;3.99E-06;f2
6;1.642633264;0.803842733;f2
6;18.52769705;0.406977401;f2
6;42.42915574;0.195705478;f2
6;67.46289939;0.069917079;f2
6;150.0098315;0.004493124;f2
7;2.468002746;2.19546251;f2
7;17.22952187;0.852570967;f2
7;43.68704493;0.111049922;f2
7;66.7160287;0.021308324;f2
7;148.3873767;5.74E-05;f2
8;2.156167198;0.883226487;f2
8;18.06885176;0.315166238;f2
8;44.28668734;0.056932321;f2
8;67.11526753;0.011876532;f2
8;109.5121623;0.00077923;f2
9;2.072930556;0.879421174;f2
9;19.69415687;0.310309125;f2
9;43.55323827;0.101742157;f2
9;66.42102108;0.029546514;f2
9;171.2858159;9.86E-05;f2
10;2.335473016;1.806834662;f2
10;17.77612946;0.477066166;f2
10;42.09469539;0.0395895;f2
10;68.33597919;0.004198529;f2
10;174.0726721;2.57E-07;f2
11;1.306743734;1.761863437;f2
11;18.34418637;0.300889275;f2
11;43.06505392;0.024647491;f2
11;65.71152587;0.002221862;f2
11;168.8339862;4.49E-08;f2
12;1.677335019;0.578914977;f2
12;19.30148905;0.072498464;f2
12;42.90977419;0.004160224;f2
12;66.28937901;0.000234094;f2
12;165.4923596;1.39E-09;f2
13;0.994920327;1.511806859;f2
13;19.42377533;0.248582517;f2
13;42.3654508;0.014765485;f2
13;67.35039223;0.001039722;f2
13;141.0555458;3.87E-07;f2
14;2.556495188;2.712852015;f2
14;19.70259193;0.48213135;f2
14;42.96541715;0.05734739;f2
14;66.02500762;0.005981964;f2
14;147.2763138;3.64E-06;f2
15;1.857956125;1.394163399;f2
15;17.60863199;0.359491232;f2
15;42.89856851;0.033371117;f2
15;65.23334443;0.003976152;f2
15;153.6307301;9.03E-07;f2
16;2.672528467;0.580043053;f2
16;17.65369905;0.187954108;f2
16;41.81529332;0.038275533;f2
16;67.5696308;0.007097765;f2
16;189.7344707;1.04E-06;f2
17;1.738291637;1.6016001;f2
17;18.45113199;1.279554032;f2
17;41.35427066;0.755686425;f2
17;64.5129491;0.399552705;f2
17;178.174669;0.019833338;f2
18;2.154707092;1.150356495;f2
18;18.18680116;0.275898905;f2
18;44.94577346;0.029951441;f2
18;64.95488568;0.005107714;f2
18;166.8070886;7.67E-07;f2
19;0.781053514;3.000293032;f2
19;19.67145251;1.121880713;f2
19;40.52413918;0.410773537;f2
19;65.79736578;0.117255465;f2
19;142.9130861;0.002247584;f2
20;1.302415482;1.390954617;f2
20;17.64839826;0.873706403;f2
20;42.0717251;0.378356819;f2
20;66.01277989;0.208200894;f2
20;147.7670666;0.019025607;f2
21;1.816167829;1.185617387;f2
21;20.47482056;0.066422432;f2
21;42.93388083;0.002045955;f2
21;64.64741287;7.83E-05;f2
21;146.6120756;4.02E-10;f2
22;1.788345675;1.088542705;f2
22;19.01889191;0.773800476;f2
22;40.56041664;0.41950981;f2
22;66.66488537;0.147140434;f2
22;138.5813965;0.015162169;f2
23;3.019851166;0.966305865;f2
23;18.81934315;0.281590774;f2
23;42.7287253;0.045485552;f2
23;66.49106387;0.008432591;f2
23;120.8106424;0.000159953;f2
24;3.419275166;1.517623885;f2
24;18.70604291;0.380491601;f2
24;43.18234834;0.042098177;f2
24;66.81656829;0.003949853;f2
24;182.8456431;3.71E-08;f2
25;1.582994812;1.994723818;f2
25;18.21784253;0.544196745;f2
25;42.56936112;0.118207331;f2
25;65.11429834;0.021676673;f2
25;158.4045899;3.93E-05;f2
26;2.522387984;2.338781912;f2
26;17.71021508;0.802091821;f2
26;43.41698475;0.12044896;f2
26;66.45431747;0.017253289;f2
26;151.0075192;2.79E-05;f2
27;0.659910593;1.399455059;f2
27;18.82242621;0.430831005;f2
27;42.43187072;0.067003409;f2
27;65.70482224;0.012827881;f2
27;193.3514897;8.79E-07;f2
28;0.896343585;0.560076181;f2
28;17.16123209;0.194845642;f2
28;41.5799663;0.02768922;f2
28;67.29578786;0.003338098;f2
28;110.892377;9.48E-05;f2
29;0.323307356;1.99568881;f2
29;17.8400607;0.245174075;f2
29;43.72817264;0.011528581;f2
29;66.6830518;0.000894698;f2
29;129.3555777;6.22E-07;f2
30;3.059273363;1.566209185;f2
30;19.46756319;0.652212775;f2
30;42.35240361;0.166744465;f2
30;65.58384546;0.04394704;f2
30;152.8795423;0.000279486;f2
31;0.444000859;2.052772205;f2
31;18.61590413;0.865364474;f2
31;41.31289133;0.340516262;f2
31;67.96824507;0.090349576;f2
31;183.0232044;0.000783374;f2
32;1.804334123;4.628918222;f2
32;16.64319458;1.62751781;f2
32;41.55589896;0.276518747;f2
32;64.62794118;0.069093795;f2
32;159.6064715;0.000105138;f2
33;1.900916014;2.428478131;f2
33;19.48115512;0.786065559;f2
33;40.74672414;0.219798417;f2
33;65.97779883;0.036485783;f2
33;145.469393;0.000224427;f2
34;2.796020418;0.742167694;f2
34;17.78113666;0.565467658;f2
34;43.54060195;0.35989103;f2
34;68.50094953;0.214659885;f2
34;162.2414629;0.03188105;f2
35;1.862954415;0.947640173;f2
35;18.87463238;0.27775529;f2
35;42.86275039;0.067746591;f2
35;66.40824562;0.016625894;f2
